外上唇恶性肿瘤	C00.000
胆总管恶性肿瘤	C24.003
胆囊管恶性肿瘤	C24.004
法特壶腹恶性肿瘤	C24.100
法特壶腹周围恶性肿瘤	C24.101
胆道交搭跨越恶性肿瘤的损害	C24.800
肝内及肝外胆管恶性肿瘤	C24.800x001
胆道恶性肿瘤	C24.900
胰头恶性肿瘤	C25.000
胰体恶性肿瘤	C25.100
胰尾恶性肿瘤	C25.200
胰管恶性肿瘤	C25.300
胰腺内分泌的恶性肿瘤	C25.400
胰岛恶性肿瘤	C25.401
胰其他部位的恶性肿瘤	C25.700
胰颈恶性肿瘤	C25.701
胰交搭跨越恶性肿瘤的损害	C25.800
胰头和胰颈及胰体恶性肿瘤	C25.800x001
胰体胰尾部恶性肿瘤	C25.801
胰颈胰体部恶性肿瘤	C25.802
胰头胰颈部恶性肿瘤	C25.803
胰恶性肿瘤	C25.900
肠道部位的恶性肿瘤	C26.000
脾恶性肿瘤	C26.100
消化系统交搭跨越恶性肿瘤的损害	C26.800
小肠及结肠恶性肿瘤	C26.800x001
胃体及横结肠恶性肿瘤	C26.800x002
胆管及胆囊恶性肿瘤	C26.800x003
消化系统部位不明确的恶性肿瘤	C26.900
胃肠道恶性肿瘤	C26.901
鼻腔恶性肿瘤	C30.000
鼻软骨恶性肿瘤	C30.001
鼻甲恶性肿瘤	C30.002
内鼻恶性肿瘤	C30.003
鼻中隔恶性肿瘤	C30.004
鼻前庭恶性肿瘤	C30.005
中耳恶性肿瘤	C30.100
咽鼓管恶性肿瘤	C30.101
乳突恶性肿瘤	C30.102
内耳恶性肿瘤	C30.103
上颌窦恶性肿瘤	C31.000
筛窦恶性肿瘤	C31.100
额窦恶性肿瘤	C31.200
蝶窦恶性肿瘤	C31.300
鼻旁窦交搭跨越恶性肿瘤的损害	C31.800
筛窦蝶窦恶性肿瘤	C31.801
鼻旁窦恶性肿瘤	C31.900
鼻窦恶性肿瘤	C31.900x001
声门恶性肿瘤	C32.000
声带恶性肿瘤	C32.001
声门上恶性肿瘤	C32.100
会厌后面（喉面）恶性肿瘤	C32.100x004
会厌恶性肿瘤	C32.101
喉外部恶性肿瘤	C32.102
假声带恶性肿瘤	C32.103
喉室带恶性肿瘤	C32.104
声门下恶性肿瘤	C32.200
喉软骨恶性肿瘤	C32.300
喉交搭跨越恶性肿瘤的损害	C32.800
喉恶性肿瘤	C32.900
气管恶性肿瘤	C33.x00
主支气管恶性肿瘤	C34.000
左主支气管恶性肿瘤	C34.000x002
右主支气管恶性肿瘤	C34.000x003
肺门恶性肿瘤	C34.001
上叶，支气管或肺的恶性肿瘤	C34.100
左肺上叶恶性肿瘤	C34.100x003
右肺上叶恶性肿瘤	C34.100x004
肺上叶恶性肿瘤	C34.101
肺上沟恶性肿瘤	C34.102
中叶，支气管或肺的恶性肿瘤	C34.200
肺中叶恶性肿瘤	C34.201
下叶，支气管或肺的恶性肿瘤	C34.300
左肺下叶恶性肿瘤	C34.300x003
右肺下叶恶性肿瘤	C34.300x004
肺下叶恶性肿瘤	C34.301
支气管和肺交搭跨越恶性肿瘤的损害	C34.800
右肺中上叶恶性肿瘤	C34.800x001
右肺中下叶恶性肿瘤	C34.800x002
左肺上下叶恶性肿瘤	C34.800x003
肺中上叶恶性肿瘤	C34.801
肺中下叶恶性肿瘤	C34.802
肺上下叶恶性肿瘤	C34.803
支气管或肺恶性肿瘤	C34.900
肺恶性肿瘤	C34.900x001
左肺恶性肿瘤	C34.900x004
右肺恶性肿瘤	C34.900x005
双肺恶性肿瘤	C34.900x006
肺多处恶性肿瘤	C34.900x008
支气管恶性肿瘤	C34.901
细支气管恶性肿瘤	C34.902
胸腺恶性肿瘤	C37.x00
心脏恶性肿瘤	C38.000
心室恶性肿瘤	C38.000x004
心包恶性肿瘤	C38.001
心房恶性肿瘤	C38.002
前纵隔恶性肿瘤	C38.100
后纵隔恶性肿瘤	C38.200
纵隔恶性肿瘤	C38.300
胸膜恶性肿瘤	C38.400
胸膜脏层恶性肿瘤	C38.400x003
胸膜壁层恶性肿瘤	C38.401
心脏、纵隔和胸膜交搭跨越恶性肿瘤的损害	C38.800
上呼吸道的恶性肿瘤	C39.000
呼吸和胸腔内器官交搭跨越恶性肿瘤的损害	C39.800
鼻腔,鼻窦恶性肿瘤	C39.801
呼吸系统不明确部位的恶性肿瘤	C39.900
呼吸系统恶性肿瘤	C39.900x001
上肢长骨和肩胛骨恶性肿瘤	C40.000
肩关节恶性肿瘤	C40.000x006
肩胛骨恶性肿瘤	C40.001
肱骨恶性肿瘤	C40.002
尺骨恶性肿瘤	C40.003
桡骨恶性肿瘤	C40.004
肘关节恶性肿瘤	C40.005
上肢短骨恶性肿瘤	C40.100
腕关节恶性肿瘤	C40.100x006
手关节恶性肿瘤	C40.100x007
腕骨恶性肿瘤	C40.101
指骨恶性肿瘤	C40.102
掌骨恶性肿瘤	C40.103
下肢长骨恶性肿瘤	C40.200
膝关节恶性肿瘤	C40.200x005
股骨恶性肿瘤	C40.201
胫骨恶性肿瘤	C40.202
腓骨恶性肿瘤	C40.203
下肢短骨恶性肿瘤	C40.300
踝骨恶性肿瘤	C40.300x003
距骨恶性肿瘤	C40.300x004
跟骨恶性肿瘤	C40.300x005
足骨恶性肿瘤	C40.300x009
踝关节恶性肿瘤	C40.300x010
足关节恶性肿瘤	C40.300x011
髌骨恶性肿瘤	C40.301
跗骨恶性肿瘤	C40.302
趾骨恶性肿瘤	C40.303
跖骨恶性肿瘤	C40.304
四肢骨和关节软骨交搭跨越恶性肿瘤的损害	C40.800
四肢骨和关节软骨恶性肿瘤	C40.900
四肢骨恶性肿瘤	C40.900x001
四肢关节软骨恶性肿瘤	C40.901
颅骨和面骨恶性肿瘤	C41.000
颅骨恶性肿瘤	C41.000x018
斜坡恶性肿瘤	C41.000x019
舌骨恶性肿瘤	C41.000x020
犁骨恶性肿瘤	C41.000x021
颚骨恶性肿瘤	C41.000x023
鼻甲骨恶性肿瘤	C41.000x025
颌面骨恶性肿瘤	C41.000x027
面骨恶性肿瘤	C41.001
额骨恶性肿瘤	C41.002
顶骨恶性肿瘤	C41.003
枕骨恶性肿瘤	C41.004
蝶骨恶性肿瘤	C41.005
筛骨恶性肿瘤	C41.006
颞骨恶性肿瘤	C41.007
眶骨恶性肿瘤	C41.008
鼻骨恶性肿瘤	C41.009
颧骨恶性肿瘤	C41.010
上颌骨恶性肿瘤	C41.011
眉弓恶性肿瘤	C41.012
下颌骨恶性肿瘤	C41.100
髁突恶性肿瘤	C41.100x002
脊柱恶性肿瘤	C41.200
椎骨恶性肿瘤	C41.200x005
颈椎恶性肿瘤	C41.201
胸椎恶性肿瘤	C41.202
腰椎恶性肿瘤	C41.203
肋骨、胸骨和锁骨恶性肿瘤	C41.300
锁骨恶性肿瘤	C41.300x002
胸骨恶性肿瘤	C41.301
肋骨恶性肿瘤	C41.302
盆骨、骶骨和尾骨恶性肿瘤	C41.400
髋关节恶性肿瘤	C41.400x008
髋臼恶性肿瘤	C41.400x009
盆骨恶性肿瘤	C41.401
髋骨恶性肿瘤	C41.402
骶骨恶性肿瘤	C41.403
耻骨恶性肿瘤	C41.404
尾骨恶性肿瘤	C41.405
髂骨恶性肿瘤	C41.406
骨和关节软骨交搭跨越恶性肿瘤的损害	C41.800
腰椎及骶椎恶性肿瘤	C41.800x001
骨和关节软骨恶性肿瘤	C41.900
骨恶性肿瘤	C41.900x001
关节软骨恶性肿瘤	C41.901
唇恶性黑色素瘤	C43.000
眼睑（包括眦）恶性黑色素瘤	C43.100
眼睑恶性黑色素瘤	C43.100x001
眦恶性黑色素瘤	C43.101
耳和外耳道恶性黑色素瘤	C43.200
耳廓恶性黑色素瘤	C43.200x001
耳恶性黑色素瘤	C43.200x003
外耳道恶性黑色素瘤	C43.201
面部恶性黑色素瘤	C43.300
鼻恶性黑色素瘤	C43.302
头皮和颈部恶性黑色素瘤	C43.400
头皮恶性黑色素瘤	C43.400x002
颈部恶性黑色素瘤	C43.401
躯干恶性黑色素瘤	C43.500
乳房恶性黑色素瘤	C43.501
胸壁恶性黑色素瘤	C43.502
腹壁恶性黑色素瘤	C43.503
腹股沟恶性黑色素瘤	C43.504
背部恶性黑色素瘤	C43.505
臀部恶性黑色素瘤	C43.506
肛门恶性黑色素瘤	C43.507
肛周恶性黑色素瘤	C43.508
上肢（包括肩）恶性黑色素瘤	C43.600
手指恶性黑色素瘤	C43.600x002
肩部恶性黑色素瘤	C43.601
上臂恶性黑色素瘤	C43.602
前臂恶性黑色素瘤	C43.603
肘部恶性黑色素瘤	C43.604
腕部恶性黑色素瘤	C43.605
手恶性黑色素瘤	C43.606
下肢（包括髋）恶性黑色素瘤	C43.700
下肢恶性黑色素瘤	C43.700x001
髋恶性黑色素瘤	C43.701
大腿恶性黑色素瘤	C43.702
小腿恶性黑色素瘤	C43.703
膝部恶性黑色素瘤	C43.704
腘部恶性黑色素瘤	C43.705
踝部恶性黑色素瘤	C43.706
足部恶性黑色素瘤	C43.707
皮肤交搭跨越的恶性黑色素瘤	C43.800
皮肤恶性黑色素瘤	C43.900
恶性雀斑样痣	C43.900x003
恶性蓝痣	C43.901
唇皮肤恶性肿瘤	C44.000
眼睑（包括眦）皮肤恶性肿瘤	C44.100
眼睑恶性肿瘤	C44.100x002
内眦恶性肿瘤	C44.100x003
外眦恶性肿瘤	C44.100x004
眦恶性肿瘤	C44.101
睑板腺恶性肿瘤	C44.102
耳和外耳道皮肤恶性肿瘤	C44.200
耳部皮肤恶性肿瘤	C44.200x001
外耳道皮肤恶性肿瘤	C44.201
面部皮肤恶性肿瘤	C44.300
颞部皮肤恶性肿瘤	C44.300x005
鼻翼皮肤恶性肿瘤	C44.300x006
额部皮肤恶性肿瘤	C44.302
鼻部皮肤恶性肿瘤	C44.304
颌下皮肤恶性肿瘤	C44.305
鼻唇沟恶性肿瘤	C44.306
颏部恶性肿瘤	C44.307
头皮和颈部皮肤恶性肿瘤	C44.400
头皮恶性肿瘤	C44.400x004
颈部皮肤恶性肿瘤	C44.401
躯干皮肤恶性肿瘤	C44.500
乳房皮肤恶性肿瘤	C44.501
胸部皮肤恶性肿瘤	C44.502
腹部皮肤恶性肿瘤	C44.503
背部皮肤恶性肿瘤	C44.504
肩胛区皮肤恶性肿瘤	C44.505
臀部皮肤恶性肿瘤	C44.506
肛门皮肤恶性肿瘤	C44.507
肛周皮肤恶性肿瘤	C44.508
腹股沟皮肤恶性肿瘤	C44.509
上肢（包括肩）皮肤恶性肿瘤	C44.600
肩部皮肤恶性肿瘤	C44.601
上臂皮肤恶性肿瘤	C44.602
前臂皮肤恶性肿瘤	C44.603
肘部皮肤恶性肿瘤	C44.604
腕部皮肤恶性肿瘤	C44.605
手皮肤恶性肿瘤	C44.606
下肢（包括髋）皮肤恶性肿瘤	C44.700
髋部皮肤恶性肿瘤	C44.701
大腿皮肤恶性肿瘤	C44.702
小腿皮肤恶性肿瘤	C44.703
膝部皮肤恶性肿瘤	C44.704
腘窝皮肤恶性肿瘤	C44.705
踝部皮肤恶性肿瘤	C44.706
足皮肤恶性肿瘤	C44.707
皮肤交搭跨越恶性肿瘤的损害	C44.800
皮肤恶性肿瘤	C44.900
汗腺恶性肿瘤	C44.901
胸膜间皮瘤	C45.000
腹膜间皮瘤	C45.100
腹膜壁层间皮瘤	C45.100x005
肠系膜间皮瘤	C45.101
结肠系膜间皮瘤	C45.102
网膜间皮瘤	C45.103
心包间皮瘤	C45.200
间皮瘤，其他部位的	C45.700
腹膜后间皮瘤	C45.700x002
直肠间皮瘤	C45.700x005
肺间皮瘤	C45.701
纵隔间皮瘤	C45.702
胃间皮瘤	C45.703
肝间皮瘤	C45.704
结肠间皮瘤	C45.705
盆腔间皮瘤	C45.706
间皮瘤	C45.900
皮肤卡波西肉瘤	C46.000
软组织卡波西肉瘤	C46.100
腭卡波西肉瘤	C46.200
淋巴结卡波西肉瘤	C46.300
卡波西肉瘤，其他部位的	C46.700
外阴卡波西肉瘤	C46.700x001
肺卡波西肉瘤	C46.701
多器官的卡波西肉瘤	C46.800
卡波西肉瘤	C46.900
非洲型卡波西肉瘤	C46.900x002
经典（欧洲）型卡波西肉瘤	C46.900x003
同种异质移植型卡波西肉瘤	C46.900x004
头、面和颈部周围神经恶性肿瘤	C47.000
头部周围神经和自主神经恶性肿瘤	C47.000x001
面部周围神经和自主神经恶性肿瘤	C47.000x002
颈部周围神经和自主神经恶性肿瘤	C47.000x003
耳部周围神经和自主神经恶性肿瘤	C47.000x004
颞下窝周围神经和自主神经恶性肿瘤	C47.000x005
翼腭窝周围神经和自主神经恶性肿瘤	C47.000x006
咽旁间隙周围神经和自主神经恶性肿瘤	C47.000x007
咽后间隙周围神经和自主神经恶性肿瘤	C47.000x008
眼睑周围神经和自主神经恶性肿瘤	C47.000x009
鼻部周围神经和自主神经恶性肿瘤	C47.000x010
颈丛恶性肿瘤	C47.000x011
上肢（包括肩）周围神经恶性肿瘤	C47.100
上肢周围神经和自主神经恶性肿瘤	C47.100x001
腕周围神经和自主神经恶性肿瘤	C47.100x004
臂神经恶性肿瘤	C47.100x005
臂丛恶性肿瘤	C47.100x006
正中神经恶性肿瘤	C47.100x007
桡神经恶性肿瘤	C47.100x008
尺神经恶性肿瘤	C47.100x009
肩部神经恶性肿瘤	C47.101
手神经恶性肿瘤	C47.102
下肢（包括髋）周围神经恶性肿瘤	C47.200
下肢周围神经和自主神经恶性肿瘤	C47.200x001
髂部周围神经和自主神经恶性肿瘤	C47.200x004
踝部周围神经和自主神经恶性肿瘤	C47.200x005
股神经恶性肿瘤	C47.200x006
闭孔神经恶性肿瘤	C47.200x007
坐骨神经恶性肿瘤	C47.200x008
髋神经恶性肿瘤	C47.201
足神经恶性肿瘤	C47.202
胸部周围神经恶性肿瘤	C47.300
腋部周围神经和自主神经恶性肿瘤	C47.300x002
膈部周围神经和自主神经恶性肿瘤	C47.300x003
肩胛区周围神经和自主神经恶性肿瘤	C47.300x004
肋间神经恶性肿瘤	C47.300x005
腹部周围神经恶性肿瘤	C47.400
脐部周围神经和自主神经恶性肿瘤	C47.400x002
盆腔周围神经恶性肿瘤	C47.500
骨盆周围神经和自主神经恶性肿瘤	C47.500x001
臀部周围神经和自主神经恶性肿瘤	C47.500x002
会阴周围神经和自主神经恶性肿瘤	C47.500x004
骶部周围神经和自主神经恶性肿瘤	C47.500x005
骶尾周围神经和自主神经恶性肿瘤	C47.500x006
直肠膀胱隔周围神经和自主神经恶性肿瘤	C47.500x007
直肠阴道隔周围神经和自主神经恶性肿瘤	C47.500x008
直肠周围周围神经和自主神经恶性肿瘤	C47.500x009
坐骨直肠窝周围神经和自主神经恶性肿瘤	C47.500x010
腰骶丛恶性肿瘤	C47.500x012
骶神经恶性肿瘤	C47.500x013
骶丛恶性肿瘤	C47.500x014
腹股沟神经恶性肿瘤	C47.501
躯干周围神经恶性肿瘤	C47.600
背部周围神经和自主神经恶性肿瘤	C47.600x002
腰部周围神经和自主神经恶性肿瘤	C47.600x003
周围神经和自主神经系统交搭跨越恶性肿瘤的损害	C47.800
周围神经和自主神经系统恶性肿瘤	C47.900
腹膜后腔恶性肿瘤	C48.000
肾上腺周围组织恶性肿瘤	C48.000x002
肾周恶性肿瘤	C48.001
腹膜特指部位的恶性肿瘤	C48.100
直肠子宫陷凹恶性肿瘤	C48.100x006
肠系膜恶性肿瘤	C48.101
结肠系膜恶性肿瘤	C48.102
盆腔腹膜恶性肿瘤	C48.103
网膜恶性肿瘤	C48.104
腹膜壁层恶性肿瘤	C48.105
腹膜恶性肿瘤	C48.200
腹膜腔恶性肿瘤	C48.201
腹膜后腔和腹膜交搭跨越恶性肿瘤的损害	C48.800
头、面和颈部结缔组织和软组织恶性肿瘤	C49.000
颞部结缔组织恶性肿瘤	C49.000x004
头部结缔组织恶性肿瘤	C49.000x005
面部结缔组织和软组织恶性肿瘤	C49.001
颈部结缔组织和软组织恶性肿瘤	C49.002
睑结缔组织恶性肿瘤	C49.003
耳部结缔组织恶性肿瘤	C49.004
翼腭窝结缔组织恶性肿瘤	C49.005
上肢（包括肩）结缔组织和软组织恶性肿瘤	C49.100
上肢结缔组织恶性肿瘤	C49.100x001
上肢软组织恶性肿瘤	C49.100x002
腕部结缔组织恶性肿瘤	C49.100x006
肩结缔组织和软组织恶性肿瘤	C49.101
肘结缔组织恶性肿瘤	C49.102
手结缔组织恶性肿瘤	C49.103
下肢（包括髋）结缔组织和软组织恶性肿瘤	C49.200
下肢结缔组织恶性肿瘤	C49.200x001
下肢软组织恶性肿瘤	C49.200x002
膝部结缔组织和软组织恶性肿瘤	C49.200x005
踝部结缔组织恶性肿瘤	C49.200x006
髋结缔组织和软组织恶性肿瘤	C49.201
足结缔组织恶性肿瘤	C49.202
胸部结缔组织和软组织恶性肿瘤	C49.300
横膈恶性肿瘤	C49.300x001
肩胛区结缔组织恶性肿瘤	C49.300x002
胸部结缔组织恶性肿瘤	C49.300x003
上腔静脉恶性肿瘤	C49.300x006
腋下结缔组织恶性肿瘤	C49.301
膈结缔组织恶性肿瘤	C49.302
腹部结缔组织和软组织恶性肿瘤	C49.400
腹壁结缔组织恶性肿瘤	C49.400x003
季肋部结缔组织恶性肿瘤	C49.401
下腔静脉恶性肿瘤	C49.402
盆腔结缔组织和软组织恶性肿瘤	C49.500
骶前结缔组织恶性肿瘤	C49.500x001
直肠周围结缔组织恶性肿瘤	C49.500x008
臀部结缔组织恶性肿瘤	C49.501
腹股沟结缔组织恶性肿瘤	C49.502
会阴结缔组织恶性肿瘤	C49.503
骶结缔组织恶性肿瘤	C49.504
直肠阴道隔结缔组织恶性肿瘤	C49.505
躯干结缔组织和软组织的恶性肿瘤	C49.600
